Adaminaby,Cooma,52
Adaminaby,Kiandra,38
Albury,Holbrook,65
Albury,Khancoban,145
Albury,Wagga Wagga,127
Armidale,Ebor,89
Armidale,Guyra,40
Armidale,Uralla,23
Ballina,Lismore,62
Barraba,Tamworth,90
Barringun,Bourke,135
Batemans Bay,Bungendore,88
Batemans Bay,Moruya,29
Batemans Bay,Ulladulla,52
Bathurst,Lithgow,57
Bathurst,Orange,53
Bega,Nimmitabel,57
Bega,Pambula,41
Bega,Tilba Tilba,72
Bendemeer,Tamworth,42
Bendemeer,Uralla,46
Boggabilla,Moree,125
Boggabilla,Tenterfield,250
Bombala,Nimmitabel,41
Bombala,Pambula,76
Bourke,Brewarrina,96
Bourke,Cobar,160
Bourke,Nyngan,200
Brewarrina,Walgett,134
Broken Hill,Mildura,266
Broken Hill,Wilcannia,195
Bungendore,Queanbeyan,54
Burren Junction,Walgett,93
Burren Junction,Wee Waa,50
Cobar,Gilgunnia,109
Cobar,Hillston,254
Cobar,Nyngan,131
Cobar,Wilcannia,260
Coffs Harbour,Grafton,86
Coffs Harbour,Ebor,102
Condoborin,Forbes,98
Condoborin,Parkes,64
Condoborin,West Wyalong,103
Cooma,Jindabyne,63
Cooma,Nimmitabel,45
Cooma,Queanbeyan,98
Coonabarabran,Gilgandra,94
Coonabarabran,Gunnedah,105
Coonabarabran,Narrabri,118
Coonamble,Gilgandra,95
Coonamble,Walgett,115
Cootamundra,Young,48
Cootamundra,Junee,61
Cowra,Bathurst,107
Cowra,Forbes,92
Cowra,Grenfell,56
Cowra,Orange,116
Cowra,Yass,132
Cowra,Young,69
Denman,Muswellbrook,21
Denam,Dunedoo,160
Denam,Singleton,65
Dubbo,Gilgandra,66
Dubbo,Orange,148
Dubbo,Parkes,115
Dubbo,Dunedoo,89
Dunedoo,Gilgandra,90
Dunedoo,Mudgee,80
Ebor,Grafton,106
Ebor,Guyra,90
Forbes,Grenfell,62
Forbes,Orange,120
Forbes,Parkes,33
Forbes,West Wyalong,106
Gilgandra,Warren,86
Glen Innes,Grafton,158
Glen Innes,Guyra,61
Glen Innes,Inverell,67
Glen Innes,Tenterfield,92
Goolgowi,Griffith,48
Goolgowi,Hay,109
Goolgowi,Hillston,61
Goolgowi,West Wyalong,145
Goulburn,Queanbeyan,86
Goulburn,Yass,78
Grafton,Lismore,105
Grenfell,West Wyalong,105
Grenfell,Young,50
Gundagai,Holbrook,134
Gundagai,Junee,61
Gundagai,Tumut,33
Gundagai,Wagga Wagga,85
Gundagai,Yass,107
Gunnedah,Narrabri,107
Gunnedah,Tamworth,77
Hebel,Walgett,134
Holbrook,Wagga Wagga,128
Inverell,Uralla,135
Inverell,Warialda,61
Jindabyne,Thredbo,34
Junee,Wagga Wagga,32
Khancoban,Kiandra,75
Khancoban,Thredbo,115
Kiandra,Tumut,82
Lismore,Tenterfield,129
Lithgow,Mudgee,122
Lithgow,Windsor,91
Marsden,West Wyalong,37
Moree,Mungindi,118
Moree,Narrabri,98
Moree,Walgett,210
Moree,Warialda,77
Moruya,Tilba Tilba,38
Muswellbrook,Singleton,48
Muswellbrook,Tamworth,157
Narrabri,Wee Waa,41
Narromine,Nevertire,67
Nerrandera,Wagga Wagga,95
Nevertire,Nyngan,60
Nevertire,Warren,19
Orange,Parkes,99
Queanbeyan,Yass,52
Singleton,Windsor,161
Temora,Wagga Wagga,82
Temora,West Wyalong,65
Temora,Young,80
Tumut,Wagga Wagga,104
